Title,Year,Genre,Director,Duration,IMDB,ID
Cursed,2005,Comedy|Horror,Wes Craven,97,5.0,236
D3 – The Mighty Ducks,1996,Action|Comedy|Drama,Robert Lieberman,104,5.5,237
D - Day,2004,Action|Drama|History,Richard Dale,120,7.1,238
Dantes Peak,1997,Action|Adventure|Thriller,Roger Donaldson,108,5.9,239
Da Vinci Koden,2006,Mystery|Thriller,Ron Howard,149,6.6,240
Dark,2005,Drama|Horror|Mystery,John Fawcett,93,5.4,241
Dark Hours,2005,Horror|Thriller,Wil Zmak,80,6.0,242
Dark Water,2005,Drama|Horror|Mystery,Walter Salles,105,5.6,243
Dawn Of The Dead,2004,Action|Horror,Zack Snyder,101,7.3,244
Day Of The Dead – The Beginning,2005,Horror,Ana Clavell,103,2.3,245
Daylight Fades,2010,Thriller,Brad Ellis,101,3.5,246
Daywatch,2006,Action|Fantasy|Horror,Timur Bekmambetov,132,6.5,247
De Omutbara,1987,Crime|Drama|Thriller,Brian De Palma,119,7.9,248
Dead Silence,2016,Action|Adventure|Comedy,Tim Miller,108,8.0,249
Deadpool,2007,Horror|Mystery|Thriller,James Wan,89,6.2,250
Dear John,2010,Drama|Romance|War,Lasse Hallström,108,6.3,251
Death Proof,2007,Action|Adventure|Thriller,Quentin Tarantino,113,7.0,252
Death Wish,2018,Action|Crime|Drama,Eli Roth,107,6.4,253
Deep Fear,2007,Horror|Mystery|Sci-Fi,Matthew Leutwyler,93,4.0,254
Deer Hunter,1978,Drama|War,Michael Cimino,183,8.1,255
Definitely Maybe,2008,Comedy|Drama|Romance,Adam Brooks,112,7.1,256
Dejavu,2006,Action|Crime|Sci-Fi,Tony Scott,126,7.0,257
Den Blodige Weekend,1983,Action|Drama|Thriller,Sam Peckinpah,103,5.9,258
Den Grymma Leken,2007,Crime|Drama|Horror,Dan Reed,80,5.6,259
Den Tredje Vågen,2003,Action|Crime|Thriller,Anders Nilsson,115,6.3,260
Departed,2006,Crime|Drama|Thriller,Martin Scorsese,151,8.5,261
Derailed,2005,Crime|Drama|Thriller,Mikael Håfström,108,6.6,262
Descent,2005,Adventure|Horror|Thriller,Neil Marshall,99,7.2,263
Det Här Var Ju Tråkigt,2012,Comedy,David Batra,84,6.5,264
Diary Of A Serial Killer,2008,Thriller,Andy Hurst,85,2.9,265
Diary Of Ellen Rimbauer,2003,Drama|Horror|Mystery,Craig R. Baxley,88,5.5,266
Dictator,2012,Comedy,Larry Charles,83,6.4,267
Die Hard I,1988,Action|Thriller,John McTiernan,132,8.2,268
Die Hard II,1990,Action|Thriller,Renny Harlin,124,7.2,269
Die Hard III,1995,Action|Thriller,John McTiernan,128,7.6,270
Die Hard IV,2007,Action|Thriller,Len Wiseman,128,7.1,271
Dilemma,2011,Comedy|Drama,Ron Howard,111,5.3,272
Dinner For Schmucks,2010,Comedy,Jay Roach,114,5.9,273
Divergent,2014,Action|Adventure|Mystery,Neil Burger,139,6.7,274
Django Unchained,2012,Drama|Western,Quentin Tarantino,165,8.4,275
Djävulens Advokat,1997,Drama|Mystery|Thriller,Taylor Hackford,144,7.5,276
Dodgeball,2004,Comedy|Sport,Rawson Marshall Thurber,92,6.7,277
Doghouse,2009,Comedy|Horror|Sci-Fi,Jake West,89,6.0,278
Dogma,1999,Adventure|Comedy|Drama,Kevin Smith,130,7.3,279
Donnie Darko,2001,Drama|Mystery|Sci-Fi,Richard Kelly,113,8.0,280
Don't Be A Menace,1996,Comedy|Crime,Paris Barclay,89,6.6,281
Drag Me To Hell,2009,Horror|Thriller,Sam Raimi,99,6.5,282
Drinking Buddies,2013,Comedy|Drama|Romance,Joe Swanberg,90,6.1,283
Drive,2011,Crime|Drama,Nicolas Winding Refn,100,7.8,284
Du & Jag,2006,Drama|Romance,Martin Jern,88,5.2,285
Dude Where's My Car,2000,Comedy|Mystery|Sci-Fi,Danny Leiner,83,5.5,286
Dum Och Dummare,1994,Comedy,Peter Farrelly,107,7.3,287
Dunkirk,2017,Action|Drama|History,Christopher Nolan,106,7.9,288
Eastern Promises,2007,Action|Crime|Drama,David Cronenberg,100,7.6,289
Eight Below,2006,Adventure|Drama|Family,Frank Marshall,120,7.3,290
Employee Of The Month,2006,Comedy|Romance,Greg Coolidge,103,5.5,291
Empress,2006,Action|Drama|Fantasy,Xiaogang Feng,131,6.4,292
En Dag I Livet,2005,Drama|Family|Romance,Lasse Hallström,108,7.0,293
En Galen Natt,2010,Comedy|Crime|Romance,Shawn Levy,88,6.3,294
En Kvinnas Doft,1992,Drama,Martin Brest,156,8.0,295
En Officer Och En Gentleman,1982,Drama|Romance,Taylor Hackford,124,7.0,296
En Underbar Jävla Jul,2015,Comedy|Drama,Helena Bergström,108,5.4,297
Entourage – The Movie,2015,Comedy,Doug Ellin,104,6.6,298
Equalizer,2014,Action|Crime|Thriller,Antoine Fuqua,132,7.2,299
Escape Plan 2,2018,Action|Crime|Mystery,Steven C. Miller,96,3.8,300
Escobar,2014,Crime|Drama|History,Andrea Di Stefano,120,6.5,301
Ett Päron Till Farsa – Nästa Generation,2015,Adventure|Comedy,John Francis Daley,99,6.1,302
Eurotrip Unseen,2004,Comedy,Jeff Schaffer,92,6.6,303
Evil Aliens,2005,Comedy|Horror|Sci-Fi,Jake West,93,5.2,304
Evolution,2001,Comedy|Sci-Fi,Ivan Reitman,101,6.1,305
Exodus,2014,Action|Drama|Fantasy,Ridley Scott,150,6.0,306
Exorcisten,1973,Horror,William Friedkin,122,8.0,307
Eye,2008,Drama|Horror|Mystery,David Moreau,98,5.4,308
Face Off,1997,Action|Crime|Sci-Fi,John Woo,138,7.3,309
